,Day,County,Confirmed_Cases
97,3-09,Berkshire,5
98,3-09,Plymouth,0
99,3-16,Bristol,2
100,3-16,Suffolk,36
101,3-16,Barnstable,1
102,3-16,Norfolk,36
103,3-16,Unknown,10
104,3-16,Worcester,6
105,3-16,Hampden,1
106,3-16,Essex,8
107,3-16,Middlesex,83
108,3-16,Berkshire,11
109,3-16,Plymouth,3
110,3-28,Bristol,179
111,3-28,Suffolk,843
112,3-28,Barnstable,133
113,3-28,Norfolk,490
114,3-28,Unknown,356
115,3-28,Worcester,291
116,3-28,Hampden,183
117,3-28,Essex,472
118,3-28,Middlesex,842
119,3-28,Berkshire,119
120,3-28,Plymouth,272
121,3-20,Bristol,6
122,3-20,Suffolk,86
123,3-20,Barnstable,9
124,3-20,Norfolk,64
125,3-20,Unknown,19
126,3-20,Worcester,19
127,3-20,Hampden,3
128,3-20,Essex,29
129,3-20,Middlesex,144
130,3-20,Berkshire,20
131,3-20,Plymouth,11
132,3-29,Bristol,208
133,3-29,Suffolk,940
134,3-29,Barnstable,148
135,3-29,Norfolk,548
136,3-29,Unknown,460
137,3-29,Worcester,337
138,3-29,Hampden,201
139,3-29,Essex,570
140,3-29,Middlesex,981
141,3-29,Berkshire,151
142,3-29,Plymouth,325
143,3-27,Bristol,129
144,3-27,Suffolk,631
145,3-27,Barnstable,100
146,3-27,Norfolk,393
147,3-27,Unknown,303
148,3-27,Worcester,219
149,3-27,Hampden,90
150,3-27,Essex,350
151,3-27,Middlesex,685
152,3-27,Berkshire,105
153,3-27,Plymouth,187
154,3-30,Bristol,263
155,3-30,Suffolk,1115
156,3-30,Barnstable,173
157,3-30,Norfolk,628
158,3-30,Unknown,489
159,3-30,Worcester,390
160,3-30,Hampden,255
161,3-30,Essex,653
162,3-30,Middlesex,1141
163,3-30,Berkshire,162
164,3-30,Plymouth,380
165,3-19,Bristol,6
166,3-19,Suffolk,72
167,3-19,Barnstable,5
168,3-19,Norfolk,52
169,3-19,Unknown,13
170,3-19,Worcester,14
171,3-19,Hampden,3
172,3-19,Essex,19
173,3-19,Middlesex,119
174,3-19,Berkshire,18
175,3-19,Plymouth,5
176,3-22,Bristol,24
177,3-22,Suffolk,126
178,3-22,Barnstable,24
179,3-22,Norfolk,75
180,3-22,Unknown,34
181,3-22,Worcester,37
182,3-22,Hampden,12
183,3-22,Essex,60
184,3-22,Middlesex,199
185,3-22,Berkshire,23
186,3-22,Plymouth,25
187,3-25,Bristol,67
188,3-25,Suffolk,342
189,3-25,Barnstable,51
190,3-25,Norfolk,222
191,3-25,Unknown,159
192,3-25,Worcester,129
193,3-25,Hampden,45
194,3-25,Essex,177
195,3-25,Middlesex,446
196,3-25,Berkshire,71
197,3-25,Plymouth,101
198,3-17,Bristol,5
199,3-17,Suffolk,42
200,3-17,Barnstable,2
201,3-17,Norfolk,43
202,3-17,Unknown,1
203,3-17,Worcester,8
204,3-17,Hampden,1
205,3-17,Essex,8
206,3-17,Middlesex,89
207,3-17,Berkshire,14
208,3-17,Plymouth,5
209,3-13,Bristol,0
210,3-13,Suffolk,26
211,3-13,Barnstable,0
212,3-13,Norfolk,24
213,3-13,Unknown,0
214,3-13,Worcester,2
215,3-13,Hampden,0
216,3-13,Essex,2
217,3-13,Middlesex,60
218,3-13,Berkshire,9
219,3-13,Plymouth,0
220,3-12,Bristol,0
221,3-12,Suffolk,22
222,3-12,Barnstable,0
223,3-12,Norfolk,24
224,3-12,Unknown,1
225,3-12,Worcester,1
226,3-12,Hampden,0
227,3-12,Essex,2
228,3-12,Middlesex,49
229,3-12,Berkshire,9
230,3-12,Plymouth,0
231,3-14,Bristol,1
232,3-14,Suffolk,27
233,3-14,Barnstable,1
234,3-14,Norfolk,28
235,3-14,Unknown,0
236,3-14,Worcester,2
237,3-14,Hampden,0
238,3-14,Essex,5
239,3-14,Middlesex,65
240,3-14,Berkshire,9
241,3-14,Plymouth,0
242,3-24,Bristol,31
243,3-24,Suffolk,234
244,3-24,Barnstable,40
245,3-24,Norfolk,129
246,3-24,Unknown,90
247,3-24,Worcester,73
248,3-24,Hampden,24
249,3-24,Essex,118
250,3-24,Middlesex,304
251,3-24,Berkshire,37
252,3-24,Plymouth,64
253,4-01,Bristol,366
254,4-01,Suffolk,1624
255,4-01,Barnstable,255
256,4-01,Norfolk,829
257,4-01,Unknown,251
258,4-01,Worcester,563
259,4-01,Hampden,475
260,4-01,Essex,885
261,4-01,Middlesex,1582
262,4-01,Berkshire,183
263,4-01,Plymouth,561
264,3-15,Bristol,1
265,3-15,Suffolk,31
266,3-15,Barnstable,1
267,3-15,Norfolk,31
268,3-15,Unknown,2
269,3-15,Worcester,6
270,3-15,Hampden,1
271,3-15,Essex,6
272,3-15,Middlesex,75
273,3-15,Berkshire,9
274,3-15,Plymouth,1
