,yyyy_mm_dd,mm_dd,patient_county,mem_cnt,covid_mem_cnt
245,2020-03-02,03-02,Worcester,11,0.0
246,2020-03-02,03-02,Hampden,11,0.0
247,2020-03-02,03-02,Norfolk,19,0.0
248,2020-03-02,03-02,Middlesex,41,0.0
249,2020-03-02,03-02,Essex,16,0.0
250,2020-03-02,03-02,Hampshire,7,0.0
251,2020-03-02,03-02,Suffolk,14,0.0
252,2020-03-02,03-02,Plymouth,19,0.0
253,2020-03-01,03-01,Nantucket,1,0.0
254,2020-03-01,03-01,Norfolk,18,0.0
255,2020-03-01,03-01,Franklin,7,0.0
256,2020-03-01,03-01,Plymouth,19,0.0
257,2020-03-01,03-01,Suffolk,11,0.0
258,2020-03-01,03-01,Worcester,26,0.0
259,2020-03-01,03-01,Hampshire,1,0.0
260,2020-03-01,03-01,Hampden,19,0.0
261,2020-03-01,03-01,Middlesex,36,0.0
262,2020-03-01,03-01,Essex,17,0.0
263,2020-03-01,03-01,Bristol,25,0.0
